['day:', 0, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 1, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 2, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 3, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 4, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 5, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 6, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 7, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 8, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 9, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 10, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 11, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 12, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 13, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 14, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 15, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
['day:', 0, 'Time:', 9, ':', 0, ':', 16, 'laneWE:', 2.6344113264371516, 'laneEW:', 2.7283835405333994, 'laneNS:', 2.6577101889261088, 'laneSN:', 2.5659471504323266, 'meanTime:', 2.6466130515822464]
